collision_datetime,collision_time,accident_year,month,day_of_week,analysis_neighborhood
04/07/2013 05:25:00 PM,17:25:00,2013,April,Sunday,Lone Mountain/USF
05/07/2019 06:20:00 PM,18:20:00,2019,May,Tuesday,Hayes Valley
08/12/2012 04:50:00 PM,16:50:00,2012,August,Sunday,Golden Gate Park
03/17/2020 01:55:00 PM,13:55:00,2020,March,Tuesday,Potrero Hill
11/15/2007 05:45:00 PM,17:45:00,2007,November,Thursday,Haight Ashbury
01/22/2014 07:37:00 PM,19:37:00,2014,January,Wednesday,Financial District/South Beach
08/19/2013 08:53:00 PM,20:53:00,2013,August,Monday,Marina
09/06/2023 11:45:00 AM,11:45:00,2023,September,Wednesday,Financial District/South Beach
06/01/2012 03:05:00 PM,15:05:00,2012,June,Friday,Tenderloin
08/23/2022 04:44:00 PM,16:44:00,2022,August,Tuesday,Excelsior
10/03/2020 04:46:00 PM,16:46:00,2020,October,Saturday,South of Market
07/28/2019 01:48:00 PM,13:48:00,2019,July,Sunday,Mission
07/04/2013 07:35:00 PM,19:35:00,2013,July,Thursday,Castro/Upper Market
04/12/2014 05:40:00 PM,17:40:00,2014,April,Saturday,Nob Hill
12/26/2019 04:02:00 PM,16:02:00,2019,December,Thursday,Financial District/South Beach
02/29/2024 06:15:00 AM,06:15:00,2024,February,Thursday,Tenderloin
08/12/2019 01:25:00 AM,01:25:00,2019,August,Monday,Castro/Upper Market
06/27/2022 07:16:00 AM,07:16:00,2022,June,Monday,Tenderloin
12/21/2022 03:47:00 PM,15:47:00,2022,December,Wednesday,West of Twin Peaks
09/26/2005 12:56:00 PM,12:56:00,2005,September,Monday,Noe Valley
09/29/2022 10:36:00 AM,10:36:00,2022,September,Thursday,Bayview Hunters Point
07/25/2021 01:52:00 PM,13:52:00,2021,July,Sunday,Western Addition
08/21/2012 11:36:00 AM,11:36:00,2012,August,Tuesday,Tenderloin
12/01/2019 09:09:00 PM,21:09:00,2019,December,Sunday,Golden Gate Park
12/29/2014 09:00:00 AM,09:00:00,2014,December,Monday,Financial District/South Beach
06/13/2020 06:45:00 PM,18:45:00,2020,June,Saturday,Marina
03/23/2023 02:57:00 PM,14:57:00,2023,March,Thursday,Mission
04/01/2023 01:28:00 PM,13:28:00,2023,April,Saturday,Bayview Hunters Point
03/28/2013 06:21:00 PM,18:21:00,2013,March,Thursday,Castro/Upper Market
01/08/2023 02:56:00 PM,14:56:00,2023,January,Sunday,Sunset/Parkside
01/01/2012 12:30:00 AM,00:30:00,2012,January,Sunday,Russian Hill
12/06/2019 06:10:00 PM,18:10:00,2019,December,Friday,Potrero Hill
08/01/2007 11:25:00 AM,11:25:00,2007,August,Wednesday,Presidio Heights
02/01/2013 10:17:00 PM,22:17:00,2013,February,Friday,Financial District/South Beach
04/04/2020 01:16:00 PM,13:16:00,2020,April,Saturday,Outer Richmond
08/17/2023 02:58:00 PM,14:58:00,2023,August,Thursday,Bayview Hunters Point
06/09/2016 05:05:00 PM,17:05:00,2016,June,Thursday,Financial District/South Beach
09/15/2024 03:21:00 AM,03:21:00,2024,September,Sunday,Excelsior
11/15/2022 06:54:00 PM,18:54:00,2022,November,Tuesday,South of Market
11/11/2007 04:00:00 PM,16:00:00,2007,November,Sunday,Mission
11/18/2020 11:00:00 AM,11:00:00,2020,November,Wednesday,Bernal Heights
07/29/2019 02:22:00 AM,02:22:00,2019,July,Monday,Bayview Hunters Point
12/14/2016 07:40:00 AM,07:40:00,2016,December,Wednesday,Marina
12/19/2011 09:35:00 PM,21:35:00,2011,December,Monday,South of Market
06/16/2023 04:30:00 AM,04:30:00,2023,June,Friday,Marina
05/12/2020 11:00:00 AM,11:00:00,2020,May,Tuesday,Bayview Hunters Point
07/16/2022 04:20:00 PM,16:20:00,2022,July,Saturday,North Beach
08/31/2006 12:55:00 PM,12:55:00,2006,August,Thursday,Inner Sunset
05/06/2019 09:35:00 PM,21:35:00,2019,May,Monday,Mission
10/16/2012 05:12:00 PM,17:12:00,2012,October,Tuesday,Inner Sunset
05/05/2012 03:34:00 AM,03:34:00,2012,May,Saturday,Financial District/South Beach
03/26/2008 02:11:00 PM,14:11:00,2008,March,Wednesday,Sunset/Parkside
05/08/2020 03:55:00 PM,15:55:00,2020,May,Friday,Twin Peaks
09/23/2023 03:58:00 PM,15:58:00,2023,September,Saturday,Haight Ashbury
09/21/2005 05:26:00 PM,17:26:00,2005,September,Wednesday,North Beach
01/04/2023 05:53:00 PM,17:53:00,2023,January,Wednesday,Oceanview/Merced/Ingleside
02/03/2023 09:13:00 AM,09:13:00,2023,February,Friday,Bayview Hunters Point
11/29/2007 03:29:00 PM,15:29:00,2007,November,Thursday,Tenderloin
10/05/2011 01:34:00 PM,13:34:00,2011,October,Wednesday,South of Market
08/30/2021 09:26:00 AM,09:26:00,2021,August,Monday,Portola
04/27/2015 05:35:00 PM,17:35:00,2015,April,Monday,Mission
10/02/2020 07:16:00 PM,19:16:00,2020,October,Friday,South of Market
05/21/2018 02:58:00 PM,14:58:00,2018,May,Monday,Portola
05/12/2012 02:17:00 PM,14:17:00,2012,May,Saturday,Outer Richmond
02/09/2018 02:45:00 PM,14:45:00,2018,February,Friday,Oceanview/Merced/Ingleside
07/20/2019 01:24:00 PM,13:24:00,2019,July,Saturday,Tenderloin
10/06/2011 08:44:00 AM,08:44:00,2011,October,Thursday,Pacific Heights
11/19/2013 02:35:00 PM,14:35:00,2013,November,Tuesday,Oceanview/Merced/Ingleside
05/14/2019 11:27:00 AM,11:27:00,2019,May,Tuesday,Outer Richmond
02/05/2013 07:50:00 AM,07:50:00,2013,February,Tuesday,West of Twin Peaks
08/07/2013 11:24:00 AM,11:24:00,2013,August,Wednesday,Outer Mission
10/22/2020 06:00:00 PM,18:00:00,2020,October,Thursday,Twin Peaks
02/01/2023 09:55:00 AM,09:55:00,2023,February,Wednesday,Pacific Heights
10/02/2022 06:37:00 PM,18:37:00,2022,October,Sunday,Haight Ashbury
02/05/2013 06:15:00 PM,18:15:00,2013,February,Tuesday,South of Market
12/31/2022 09:15:00 PM,21:15:00,2022,December,Saturday,Bayview Hunters Point
01/04/2012 03:24:00 PM,15:24:00,2012,January,Wednesday,Mission
06/23/2016 05:55:00 PM,17:55:00,2016,June,Thursday,Nob Hill
08/12/2008 12:31:00 PM,12:31:00,2008,August,Tuesday,Castro/Upper Market
11/30/2018 04:00:00 PM,16:00:00,2018,November,Friday,Lakeshore
12/22/2007 03:50:00 PM,15:50:00,2007,December,Saturday,Bernal Heights
03/23/2018 05:05:00 PM,17:05:00,2018,March,Friday,Noe Valley
01/28/2023 10:45:00 AM,10:45:00,2023,January,Saturday,Potrero Hill
12/23/2022 09:31:00 PM,21:31:00,2022,December,Friday,South of Market
11/26/2012 05:01:00 PM,17:01:00,2012,November,Monday,Bernal Heights
05/14/2012 09:20:00 AM,09:20:00,2012,May,Monday,Noe Valley
02/05/2024 03:46:00 PM,15:46:00,2024,February,Monday,Western Addition
11/30/2007 07:49:00 AM,07:49:00,2007,November,Friday,Bernal Heights
09/21/2022 09:10:00 AM,09:10:00,2022,September,Wednesday,Noe Valley
11/06/2022 02:48:00 PM,14:48:00,2022,November,Sunday,Bayview Hunters Point
05/12/2007 05:33:00 PM,17:33:00,2007,May,Saturday,Financial District/South Beach
10/14/2024 01:40:00 PM,13:40:00,2024,October,Monday,South of Market
05/13/2019 04:55:00 PM,16:55:00,2019,May,Monday,Lone Mountain/USF
11/12/2007 03:25:00 PM,15:25:00,2007,November,Monday,Portola
10/10/2022 07:48:00 PM,19:48:00,2022,October,Monday,Japantown
11/15/2020 01:39:00 PM,13:39:00,2020,November,Sunday,Portola
02/24/2021 06:44:00 PM,18:44:00,2021,February,Wednesday,Oceanview/Merced/Ingleside
11/29/2007 04:14:00 PM,16:14:00,2007,November,Thursday,Excelsior
12/13/2011 06:00:00 PM,18:00:00,2011,December,Tuesday,Russian Hill
05/25/2009 05:24:00 AM,05:24:00,2009,May,Monday,Bayview Hunters Point
04/01/2005 03:38:00 PM,15:38:00,2005,April,Friday,Mission
05/19/2013 03:32:00 AM,03:32:00,2013,May,Sunday,Tenderloin
09/05/2023 03:36:00 PM,15:36:00,2023,September,Tuesday,South of Market
01/28/2024 04:21:00 AM,04:21:00,2024,January,Sunday,South of Market
09/05/2014 04:21:00 PM,16:21:00,2014,September,Friday,Japantown
11/11/2007 01:30:00 PM,13:30:00,2007,November,Sunday,Inner Sunset
05/10/2013 04:53:00 PM,16:53:00,2013,May,Friday,McLaren Park
01/21/2012 01:57:00 PM,13:57:00,2012,January,Saturday,Lakeshore
11/18/2022 03:17:00 PM,15:17:00,2022,November,Friday,Lakeshore
08/02/2016 05:23:00 PM,17:23:00,2016,August,Tuesday,North Beach
11/03/2021 07:00:00 AM,07:00:00,2021,November,Wednesday,Castro/Upper Market
08/30/2012 07:40:00 AM,07:40:00,2012,August,Thursday,Lakeshore
11/20/2013 07:10:00 PM,19:10:00,2013,November,Wednesday,Oceanview/Merced/Ingleside
04/21/2023 10:17:00 AM,10:17:00,2023,April,Friday,West of Twin Peaks
03/02/2008 01:40:00 PM,13:40:00,2008,March,Sunday,Western Addition
08/18/2007 09:52:00 AM,09:52:00,2007,August,Saturday,Inner Sunset
12/21/2022 02:39:00 PM,14:39:00,2022,December,Wednesday,Mission
12/05/2019 03:19:00 PM,15:19:00,2019,December,Thursday,Bayview Hunters Point
01/03/2012 11:54:00 AM,11:54:00,2012,January,Tuesday,Golden Gate Park
08/13/2007 11:15:00 AM,11:15:00,2007,August,Monday,Mission
06/29/2014 04:13:00 PM,16:13:00,2014,June,Sunday,Mission
03/26/2008 07:06:00 PM,19:06:00,2008,March,Wednesday,Financial District/South Beach
10/04/2022 09:52:00 AM,09:52:00,2022,October,Tuesday,Inner Sunset
09/14/2023 02:43:00 PM,14:43:00,2023,September,Thursday,Sunset/Parkside
05/10/2020 06:50:00 AM,06:50:00,2020,May,Sunday,Excelsior
11/08/2022 06:24:00 PM,18:24:00,2022,November,Tuesday,Nob Hill
04/07/2012 02:30:00 PM,14:30:00,2012,April,Saturday,Financial District/South Beach
07/11/2015 04:15:00 PM,16:15:00,2015,July,Saturday,Sunset/Parkside
03/16/2008 02:17:00 AM,02:17:00,2008,March,Sunday,Russian Hill
02/08/2024 08:32:00 AM,08:32:00,2024,February,Thursday,Mission
01/24/2024 10:55:00 PM,22:55:00,2024,January,Wednesday,Bayview Hunters Point
07/13/2020 12:48:00 PM,12:48:00,2020,July,Monday,Inner Richmond
03/09/2023 06:56:00 PM,18:56:00,2023,March,Thursday,Potrero Hill
09/28/2015 05:39:00 PM,17:39:00,2015,September,Monday,Mission
11/22/2022 05:16:00 PM,17:16:00,2022,November,Tuesday,Nob Hill
04/04/2005 08:48:00 AM,08:48:00,2005,April,Monday,Bayview Hunters Point
03/21/2023 07:50:00 AM,07:50:00,2023,March,Tuesday,Western Addition
12/01/2016 04:32:00 PM,16:32:00,2016,December,Thursday,West of Twin Peaks
12/08/2022 02:16:00 PM,14:16:00,2022,December,Thursday,Tenderloin
08/16/2019 09:19:00 AM,09:19:00,2019,August,Friday,South of Market
10/16/2022 05:08:00 PM,17:08:00,2022,October,Sunday,Outer Mission
03/01/2013 08:55:00 AM,08:55:00,2013,March,Friday,Excelsior
08/06/2024 07:42:00 PM,19:42:00,2024,August,Tuesday,Bayview Hunters Point
09/03/2023 06:00:00 PM,18:00:00,2023,September,Sunday,Chinatown
05/28/2020 11:24:00 AM,11:24:00,2020,May,Thursday,Outer Richmond
07/22/2008 08:16:00 AM,08:16:00,2008,July,Tuesday,Mission
09/30/2007 02:55:00 PM,14:55:00,2007,September,Sunday,West of Twin Peaks
08/17/2019 10:52:00 PM,22:52:00,2019,August,Saturday,Mission
09/02/2005 07:40:00 PM,19:40:00,2005,September,Friday,Lone Mountain/USF
03/31/2020 04:40:00 PM,16:40:00,2020,March,Tuesday,Mission
11/08/2007 07:39:00 AM,07:39:00,2007,November,Thursday,Financial District/South Beach
03/26/2016 03:30:00 PM,15:30:00,2016,March,Saturday,Outer Richmond
05/20/2014 09:28:00 AM,09:28:00,2014,May,Tuesday,Mission
11/05/2013 10:50:00 AM,10:50:00,2013,November,Tuesday,South of Market
09/16/2005 04:02:00 AM,04:02:00,2005,September,Friday,Bayview Hunters Point
03/28/2013 10:33:00 PM,22:33:00,2013,March,Thursday,Russian Hill
07/26/2020 05:53:00 PM,17:53:00,2020,July,Sunday,Bayview Hunters Point
04/29/2020 02:43:00 PM,14:43:00,2020,April,Wednesday,South of Market
12/17/2007 11:57:00 AM,11:57:00,2007,December,Monday,Tenderloin
09/04/2023 10:30:00 AM,10:30:00,2023,September,Monday,Mission
01/15/2018 12:54:00 PM,12:54:00,2018,January,Monday,Outer Richmond
10/29/2011 02:26:00 PM,14:26:00,2011,October,Saturday,Tenderloin
08/05/2013 12:22:00 PM,12:22:00,2013,August,Monday,Mission
09/21/2007 06:58:00 PM,18:58:00,2007,September,Friday,Golden Gate Park
12/09/2021 12:31:00 PM,12:31:00,2021,December,Thursday,Golden Gate Park
07/21/2019 08:45:00 PM,20:45:00,2019,July,Sunday,South of Market
11/25/2022 09:26:00 PM,21:26:00,2022,November,Friday,Tenderloin
10/10/2007 04:24:00 PM,16:24:00,2007,October,Wednesday,South of Market
12/16/2021 09:38:00 AM,09:38:00,2021,December,Thursday,Mission Bay
08/01/2006 08:30:00 AM,08:30:00,2006,August,Tuesday,West of Twin Peaks
08/08/2012 10:24:00 PM,22:24:00,2012,August,Wednesday,South of Market
06/02/2020 02:45:00 PM,14:45:00,2020,June,Tuesday,Mission
02/26/2023 03:28:00 PM,15:28:00,2023,February,Sunday,South of Market
04/27/2020 08:31:00 PM,20:31:00,2020,April,Monday,Oceanview/Merced/Ingleside
06/23/2023 10:07:00 AM,10:07:00,2023,June,Friday,Sunset/Parkside
03/30/2020 07:01:00 PM,19:01:00,2020,March,Monday,Sunset/Parkside
05/11/2019 11:10:00 AM,11:10:00,2019,May,Saturday,Mission
04/10/2020 01:24:00 AM,01:24:00,2020,April,Friday,Nob Hill
12/15/2012 09:31:00 AM,09:31:00,2012,December,Saturday,Pacific Heights
05/10/2019 06:46:00 PM,18:46:00,2019,May,Friday,Financial District/South Beach
02/15/2013 09:09:00 PM,21:09:00,2013,February,Friday,Excelsior
08/18/2019 10:16:00 PM,22:16:00,2019,August,Sunday,Golden Gate Park
06/25/2016 04:37:00 PM,16:37:00,2016,June,Saturday,Lakeshore
09/27/2021 07:49:00 AM,07:49:00,2021,September,Monday,Inner Sunset
08/21/2006 11:26:00 AM,11:26:00,2006,August,Monday,South of Market
04/23/2023 04:26:00 PM,16:26:00,2023,April,Sunday,Pacific Heights
02/09/2020 07:21:00 PM,19:21:00,2020,February,Sunday,Mission
09/21/2007 10:52:00 PM,22:52:00,2007,September,Friday,Outer Richmond
05/12/2005 05:05:00 PM,17:05:00,2005,May,Thursday,Lone Mountain/USF
03/16/2016 01:30:00 PM,13:30:00,2016,March,Wednesday,Financial District/South Beach
09/29/2011 11:01:00 AM,11:01:00,2011,September,Thursday,Tenderloin
10/12/2007 12:55:00 PM,12:55:00,2007,October,Friday,South of Market
07/07/2023 01:58:00 PM,13:58:00,2023,July,Friday,Tenderloin
04/13/2023 04:00:00 PM,16:00:00,2023,April,Thursday,West of Twin Peaks
07/27/2019 06:00:00 PM,18:00:00,2019,July,Saturday,Inner Richmond
11/12/2016 12:45:00 PM,12:45:00,2016,November,Saturday,Financial District/South Beach
04/11/2007 08:00:00 AM,08:00:00,2007,April,Wednesday,Inner Richmond
06/28/2013 09:20:00 AM,09:20:00,2013,June,Friday,Western Addition
07/24/2012 12:21:00 PM,12:21:00,2012,July,Tuesday,Financial District/South Beach
05/03/2020 03:26:00 PM,15:26:00,2020,May,Sunday,Bayview Hunters Point
08/22/2005 04:24:00 PM,16:24:00,2005,August,Monday,Western Addition
07/27/2017 08:40:00 AM,08:40:00,2017,July,Thursday,Chinatown
12/02/2022 07:30:00 AM,07:30:00,2022,December,Friday,Marina
11/06/2012 05:55:00 AM,05:55:00,2012,November,Tuesday,Western Addition
01/10/2015 06:32:00 PM,18:32:00,2015,January,Saturday,Mission
04/11/2023 04:00:00 PM,16:00:00,2023,April,Tuesday,Bayview Hunters Point
10/19/2012 11:00:00 AM,11:00:00,2012,October,Friday,Lakeshore
07/30/2012 06:21:00 AM,06:21:00,2012,July,Monday,Hayes Valley
01/13/2005 05:58:00 AM,05:58:00,2005,January,Thursday,Western Addition
11/24/2022 12:42:00 AM,00:42:00,2022,November,Thursday,South of Market
02/28/2020 03:05:00 PM,15:05:00,2020,February,Friday,Mission
11/11/2007 01:20:00 AM,01:20:00,2007,November,Sunday,Excelsior
12/19/2022 12:46:00 PM,12:46:00,2022,December,Monday,South of Market
11/20/2022 07:47:00 PM,19:47:00,2022,November,Sunday,West of Twin Peaks
07/28/2020 05:42:00 PM,17:42:00,2020,July,Tuesday,North Beach
07/16/2019 05:06:00 PM,17:06:00,2019,July,Tuesday,Nob Hill
01/11/2024 11:02:00 PM,23:02:00,2024,January,Thursday,Excelsior
01/07/2012 12:43:00 PM,12:43:00,2012,January,Saturday,Mission
09/07/2013 08:27:00 AM,08:27:00,2013,September,Saturday,Golden Gate Park
11/20/2014 03:46:00 PM,15:46:00,2014,November,Thursday,Mission Bay
03/30/2021 09:55:00 AM,09:55:00,2021,March,Tuesday,Castro/Upper Market
06/29/2017 02:00:00 PM,14:00:00,2017,June,Thursday,Western Addition
11/11/2019 08:45:00 PM,20:45:00,2019,November,Monday,Bayview Hunters Point
12/31/2022 04:49:00 AM,04:49:00,2022,December,Saturday,Tenderloin
10/26/2022 03:47:00 PM,15:47:00,2022,October,Wednesday,West of Twin Peaks
11/01/2022 03:09:00 PM,15:09:00,2022,November,Tuesday,Marina
04/20/2012 07:00:00 PM,19:00:00,2012,April,Friday,Excelsior
05/12/2019 03:45:00 AM,03:45:00,2019,May,Sunday,Western Addition
10/12/2023 01:31:00 PM,13:31:00,2023,October,Thursday,Inner Richmond
09/03/2009 01:35:00 PM,13:35:00,2009,September,Thursday,Western Addition
12/07/2013 01:00:00 PM,13:00:00,2013,December,Saturday,Haight Ashbury
12/17/2022 08:58:00 AM,08:58:00,2022,December,Saturday,Bernal Heights
10/24/2011 05:20:00 PM,17:20:00,2011,October,Monday,Financial District/South Beach
08/22/2019 08:25:00 AM,08:25:00,2019,August,Thursday,Financial District/South Beach
08/28/2024 08:08:00 AM,08:08:00,2024,August,Wednesday,Mission
01/14/2012 06:15:00 PM,18:15:00,2012,January,Saturday,North Beach
09/23/2005 03:15:00 PM,15:15:00,2005,September,Friday,Financial District/South Beach
03/08/2023 11:40:00 AM,11:40:00,2023,March,Wednesday,Sunset/Parkside
09/27/2012 10:05:00 AM,10:05:00,2012,September,Thursday,Haight Ashbury
12/12/2007 10:20:00 AM,10:20:00,2007,December,Wednesday,Western Addition
04/22/2018 02:12:00 AM,02:12:00,2018,April,Sunday,Tenderloin
10/18/2022 04:04:00 PM,16:04:00,2022,October,Tuesday,Bayview Hunters Point
04/06/2013 06:49:00 PM,18:49:00,2013,April,Saturday,West of Twin Peaks
02/06/2024 02:47:00 PM,14:47:00,2024,February,Tuesday,Potrero Hill
09/27/2007 09:11:00 PM,21:11:00,2007,September,Thursday,Russian Hill
05/22/2009 11:10:00 PM,23:10:00,2009,May,Friday,Bayview Hunters Point
12/31/2011 11:57:00 PM,23:57:00,2011,December,Saturday,Tenderloin
08/02/2007 09:48:00 PM,21:48:00,2007,August,Thursday,Sunset/Parkside
01/12/2017 10:24:00 PM,22:24:00,2017,January,Thursday,Inner Richmond
08/13/2019 01:19:00 PM,13:19:00,2019,August,Tuesday,Tenderloin
03/13/2023 08:50:00 AM,08:50:00,2023,March,Monday,South of Market
10/26/2022 10:10:00 PM,22:10:00,2022,October,Wednesday,Sunset/Parkside
04/14/2017 05:02:00 PM,17:02:00,2017,April,Friday,Financial District/South Beach
01/16/2012 01:41:00 PM,13:41:00,2012,January,Monday,Inner Richmond
04/20/2013 06:22:00 AM,06:22:00,2013,April,Saturday,Mission
10/01/2005 02:06:00 PM,14:06:00,2005,October,Saturday,Financial District/South Beach
04/14/2015 11:09:00 AM,11:09:00,2015,April,Tuesday,Sunset/Parkside
07/24/2019 06:21:00 PM,18:21:00,2019,July,Wednesday,Outer Mission
11/29/2007 09:22:00 AM,09:22:00,2007,November,Thursday,West of Twin Peaks
12/03/2022 11:16:00 AM,11:16:00,2022,December,Saturday,Sunset/Parkside
01/28/2023 04:53:00 PM,16:53:00,2023,January,Saturday,Potrero Hill
09/09/2006 06:10:00 AM,06:10:00,2006,September,Saturday,Sunset/Parkside
09/20/2012 08:00:00 AM,08:00:00,2012,September,Thursday,Russian Hill
11/09/2022 10:00:00 AM,10:00:00,2022,November,Wednesday,Hayes Valley
05/27/2020 12:35:00 PM,12:35:00,2020,May,Wednesday,Financial District/South Beach
06/27/2013 09:26:00 PM,21:26:00,2013,June,Thursday,Mission
07/18/2014 04:35:00 PM,16:35:00,2014,July,Friday,Haight Ashbury
02/15/2005 10:13:00 AM,10:13:00,2005,February,Tuesday,Mission Bay
03/17/2023 04:06:00 PM,16:06:00,2023,March,Friday,Inner Richmond
05/10/2005 05:35:00 PM,17:35:00,2005,May,Tuesday,Outer Mission
11/26/2022 09:19:00 AM,09:19:00,2022,November,Saturday,Western Addition
03/14/2015 05:37:00 PM,17:37:00,2015,March,Saturday,Bernal Heights
03/08/2023 07:58:00 PM,19:58:00,2023,March,Wednesday,Marina
10/25/2021 05:10:00 PM,17:10:00,2021,October,Monday,Mission
12/05/2011 05:31:00 PM,17:31:00,2011,December,Monday,Hayes Valley
06/29/2020 11:43:00 PM,23:43:00,2020,June,Monday,Financial District/South Beach
08/12/2022 02:10:00 PM,14:10:00,2022,August,Friday,South of Market
11/13/2007 02:25:00 PM,14:25:00,2007,November,Tuesday,Tenderloin
01/14/2008 12:50:00 PM,12:50:00,2008,January,Monday,South of Market
08/22/2024 06:52:00 AM,06:52:00,2024,August,Thursday,Outer Mission
11/26/2022 03:36:00 PM,15:36:00,2022,November,Saturday,Bayview Hunters Point
10/04/2023 12:30:00 PM,12:30:00,2023,October,Wednesday,Bayview Hunters Point
06/27/2014 03:15:00 PM,15:15:00,2014,June,Friday,Mission
04/18/2008 12:23:00 PM,12:23:00,2008,April,Friday,Outer Mission
11/26/2021 04:00:00 PM,16:00:00,2021,November,Friday,South of Market
07/22/2023 11:48:00 AM,11:48:00,2023,July,Saturday,Mission
01/16/2012 10:46:00 AM,10:46:00,2012,January,Monday,Visitacion Valley
08/21/2013 03:50:00 PM,15:50:00,2013,August,Wednesday,Marina
03/26/2023 06:07:00 PM,18:07:00,2023,March,Sunday,Bayview Hunters Point
08/11/2019 12:53:00 PM,12:53:00,2019,August,Sunday,Mission
11/19/2019 05:41:00 AM,05:41:00,2019,November,Tuesday,Hayes Valley
12/12/2019 10:37:00 AM,10:37:00,2019,December,Thursday,Lakeshore
09/16/2022 06:29:00 PM,18:29:00,2022,September,Friday,Hayes Valley
09/17/2007 03:15:00 PM,15:15:00,2007,September,Monday,Sunset/Parkside
09/19/2023 05:53:00 AM,05:53:00,2023,September,Tuesday,Outer Mission
01/18/2024 09:04:00 AM,09:04:00,2024,January,Thursday,
05/08/2023 10:33:00 PM,22:33:00,2023,May,Monday,Mission
08/31/2018 02:30:00 PM,14:30:00,2018,August,Friday,Castro/Upper Market
06/25/2019 09:38:00 AM,09:38:00,2019,June,Tuesday,Mission Bay
08/14/2019 05:45:00 PM,17:45:00,2019,August,Wednesday,Mission
04/18/2012 05:15:00 PM,17:15:00,2012,April,Wednesday,Mission
11/20/2007 10:30:00 AM,10:30:00,2007,November,Tuesday,Lakeshore
08/10/2013 12:05:00 AM,00:05:00,2013,August,Saturday,Golden Gate Park
07/30/2023 08:36:00 PM,20:36:00,2023,July,Sunday,Financial District/South Beach
10/18/2012 08:00:00 PM,20:00:00,2012,October,Thursday,South of Market
07/13/2014 04:55:00 PM,16:55:00,2014,July,Sunday,Outer Mission
06/20/2022 12:45:00 PM,12:45:00,2022,June,Monday,Hayes Valley
08/09/2005 09:10:00 AM,09:10:00,2005,August,Tuesday,Bayview Hunters Point
05/13/2020 06:06:00 PM,18:06:00,2020,May,Wednesday,Mission
02/22/2008 10:53:00 AM,10:53:00,2008,February,Friday,Tenderloin
11/17/2007 08:40:00 PM,20:40:00,2007,November,Saturday,Outer Richmond
08/28/2006 07:30:00 AM,07:30:00,2006,August,Monday,Mission
08/24/2007 01:26:00 PM,13:26:00,2007,August,Friday,Mission
01/18/2012 11:57:00 AM,11:57:00,2012,January,Wednesday,Tenderloin
10/29/2005 03:58:00 PM,15:58:00,2005,October,Saturday,Marina
01/12/2017 03:51:00 PM,15:51:00,2017,January,Thursday,Mission
07/08/2021 11:20:00 AM,11:20:00,2021,July,Thursday,Mission Bay
06/22/2013 01:38:00 PM,13:38:00,2013,June,Saturday,Mission
10/20/2006 09:45:00 AM,09:45:00,2006,October,Friday,Mission
10/28/2022 03:40:00 PM,15:40:00,2022,October,Friday,Hayes Valley
01/06/2023 07:15:00 AM,07:15:00,2023,January,Friday,Hayes Valley
10/12/2016 09:15:00 AM,09:15:00,2016,October,Wednesday,Visitacion Valley
01/07/2023 08:07:00 PM,20:07:00,2023,January,Saturday,Tenderloin
01/09/2023 04:46:00 AM,04:46:00,2023,January,Monday,Mission
07/23/2005 01:50:00 PM,13:50:00,2005,July,Saturday,Bernal Heights
09/19/2005 11:38:00 AM,11:38:00,2005,September,Monday,Bernal Heights
11/18/2007 01:25:00 PM,13:25:00,2007,November,Sunday,Hayes Valley
01/18/2022 06:55:00 PM,18:55:00,2022,January,Tuesday,Excelsior
12/21/2012 10:35:00 PM,22:35:00,2012,December,Friday,Castro/Upper Market
08/14/2023 08:02:00 PM,20:02:00,2023,August,Monday,Bayview Hunters Point
04/06/2023 10:44:00 PM,22:44:00,2023,April,Thursday,Outer Richmond
10/18/2015 04:43:00 PM,16:43:00,2015,October,Sunday,Outer Mission
12/25/2020 02:35:00 PM,14:35:00,2020,December,Friday,Sunset/Parkside
02/28/2020 09:28:00 AM,09:28:00,2020,February,Friday,Financial District/South Beach
11/13/2022 04:04:00 PM,16:04:00,2022,November,Sunday,Excelsior
02/09/2024 10:48:00 PM,22:48:00,2024,February,Friday,Hayes Valley
12/06/2011 03:05:00 PM,15:05:00,2011,December,Tuesday,Bernal Heights
12/06/2011 07:10:00 AM,07:10:00,2011,December,Tuesday,Financial District/South Beach
08/09/2019 12:13:00 AM,00:13:00,2019,August,Friday,Castro/Upper Market
07/11/2020 10:06:00 PM,22:06:00,2020,July,Saturday,Excelsior
05/25/2013 02:14:00 AM,02:14:00,2013,May,Saturday,Mission
08/09/2005 12:10:00 PM,12:10:00,2005,August,Tuesday,Pacific Heights
09/27/2012 10:22:00 AM,10:22:00,2012,September,Thursday,Pacific Heights
01/12/2023 05:53:00 PM,17:53:00,2023,January,Thursday,Twin Peaks
10/06/2022 10:15:00 PM,22:15:00,2022,October,Thursday,Nob Hill
10/11/2023 07:52:00 AM,07:52:00,2023,October,Wednesday,Oceanview/Merced/Ingleside
07/17/2015 04:14:00 PM,16:14:00,2015,July,Friday,Mission
07/10/2007 06:54:00 AM,06:54:00,2007,July,Tuesday,Presidio Heights
11/29/2014 03:09:00 PM,15:09:00,2014,November,Saturday,Bayview Hunters Point
11/02/2020 01:28:00 PM,13:28:00,2020,November,Monday,Mission
05/18/2005 05:35:00 PM,17:35:00,2005,May,Wednesday,Inner Sunset
08/27/2007 06:35:00 PM,18:35:00,2007,August,Monday,Mission
05/15/2020 10:15:00 AM,10:15:00,2020,May,Friday,Outer Mission
